	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. LE-142 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV73	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. SO-204 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV74	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Litsea cubeba chloroplast, complete genome"	Order_Chloroplast
ASV75	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV76	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Vibrionimonas		"Uncultured bacterium clone OTU_17 16S ribosomal RNA gene, partial sequence"	Vibrionimonas
ASV77	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Xanthoceras sorbifolium mitochondrion, complete genome"	Family_Mitochondria
ASV78	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis		"Methyloversatilis sp. strain LF 16S ribosomal RNA gene, partial sequence"	Methyloversatilis
ASV79	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella		"Acetobacteraceae bacterium strain IM_G(L)3 16S ribosomal RNA gene, partial sequence"	Bombella
ASV80	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylophilus		"Uncultured bacterium clone OTU_44 16S ribosomal RNA gene, partial sequence"	Methylophilus
ASV81	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus		"Rhodococcus sp. strain Voy40th21a-4 16S ribosomal RNA gene, partial sequence"	Rhodococcus
ASV82	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas		"Blastomonas sp. Ri1Ps_4722 gene for 16S rRNA, partial sequence"	Blastomonas
ASV83	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		"Delftia sp. strain AAUGM-10 16S ribosomal RNA gene, partial sequence"	Delftia
ASV84	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	"Uncultured bacterium clone HUSOE0I01AZRX1 16S ribosomal RNA gene, partial sequence"	Snodgrassella
ASV85	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus		"Kytococcus sp. strain 118D-2 16S ribosomal RNA gene, partial sequence"	Kytococcus
ASV86	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. LE-160 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV87	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		"Uncultured bacterium clone 16S_rRNA_OTU_822770 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV88	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. PPFM635 gene for 16S ribosomal RNA, partial sequence"	Methylobacterium-Methylorubrum
ASV89	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone dryAD203 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV90	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sesbania cannabina voucher IBSC:L.Duan 2018009 chloroplast, complete genome"	Order_Chloroplast
ASV91	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella		"Uncultured bacterium clone 1477 16S ribosomal RNA gene, partial sequence"	Bombella
ASV92	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	cheonhonense	"Uncultured Bacteroidetes bacterium clone A28 16S ribosomal RNA gene, partial sequence"	Flavobacterium
ASV93	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax		"Pseudorhodoferax caeni strain DK29 16S ribosomal RNA gene, partial sequence"	Pseudorhodoferax
ASV94	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	parvum	"Uncultured bacterium clone 94 16S ribosomal RNA gene, partial sequence"	Aquabacterium
ASV95	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium		"Sphingobium sp. strain B296C2 16S ribosomal RNA gene, partial sequence"	Sphingobium
ASV96	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sonchus asper isolate VIL-1 chloroplast, complete genome"	Order_Chloroplast
ASV97	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium		"Aquabacterium commune strain SSLF01 16S ribosomal RNA gene, partial sequence"	Aquabacterium
ASV98	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Taihangia rupestris isolate 130125 18S ribosomal RNA (rrn18) gene and rrn18-rrn5 intergenic spacer, partial sequence; mitochondrial"	Family_Mitochondria
ASV99	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV100	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium		"Chryseobacterium shandongense strain NYYP39 16S ribosomal RNA gene, partial sequence"	Chryseobacterium
ASV101	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		"Enterococcus thailandicus strain 2545 16S ribosomal RNA gene, partial sequence"	Enterococcus
ASV102	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella		"Uncultured bacterium partial 16S rRNA gene, clone AL3-2_01"	Tyzzerella
ASV103	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium		"Micrococcaceae bacterium strain LA-22 16S ribosomal RNA gene, partial sequence"	Renibacterium
ASV104	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV105	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	koreensis	"Sphingomonas sp. strain SM1-b 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV106	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		"Staphylococcus caprae strain SY333 chromosome, complete genome"	Staphylococcus
ASV107	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas		"Brevundimonas vesicularis strain B49 16S ribosomal RNA gene, partial sequence"	Brevundimonas
ASV108	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter dispersus strain ASL31 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV109	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Pseudomonas poae strain XJX-5 16S ribosomal RNA gene, partial sequence"	Pseudomonas
ASV110	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Methylobacterium sp. strain Isolate_33S1 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
ASV111	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured organism clone ELU0092-T15-S-NI_000246 small subunit ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV112	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Lotus japonicus B-129 mitochondrial DNA, complete genome"	Family_Mitochondria
ASV113	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Uncultured beta proteobacterium clone 81 16S ribosomal RNA gene, partial sequence"	Family_Comamonadaceae
ASV114	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter		"Achromobacter denitrificans strain 411 16S ribosomal RNA gene, partial sequence"	Achromobacter
ASV115	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Cuminum cyminum chloroplast, complete genome"	Order_Chloroplast
ASV116	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Citricoccus		"Citricoccus parietis strain YJGP517 16S ribosomal RNA gene, partial sequence"	Citricoccus
ASV117	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea		"Pectobacterium sp. strain 41-3 16S ribosomal RNA gene, partial sequence"	Lonsdalea
ASV118	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. BR-159 gene for 16S ribosomal RNA, partial sequence"	Sphingomonas
ASV119	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia-Obesumbacterium		"Hafnia alvei strain P33 16S ribosomal RNA gene, partial sequence"	Hafnia-Obesumbacterium
ASV120	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Paucibacter		"Kinneretia sp. strain SRS-158-F-2019 16S ribosomal RNA gene, partial sequence"	Paucibacter
ASV121	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		"Lactococcus lactis strain 4355 16S ribosomal RNA gene, partial sequence"	Lactococcus
ASV122	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		"Pseudomonas fulva strain K3 16S ribosomal RNA gene, partial sequence"	Pseudomonas
ASV123	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Uncultured bacterium isolate DGGE gel band db1206 16S ribosomal RNA gene, partial sequence"	Family_Mitochondria
ASV124	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Nevskia		"Uncultured bacterium 16S rRNA, partial sequence, clone: RBd4-F06"	Nevskia
ASV125	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas paucimobilis strain B37 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV126	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Chelidonium majus chloroplast, complete genome"	Order_Chloroplast
ASV127	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Granulicoccus		"Uncultured bacterium clone ncd942b02c1 16S ribosomal RNA gene, partial sequence"	Granulicoccus
ASV128	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus fructosus strain Sp125 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Family_Rhizobiaceae		"Mesorhizobium sp. strain Alpha-39 16S ribosomal RNA gene, partial sequence"	Family_Rhizobiaceae
ASV130	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium		"Microbacterium sp. strain T804 16S ribosomal RNA gene, partial sequence"	Microbacterium
ASV131	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV132	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas		"Stenotrophomonas maltophilia strain JM11 16S ribosomal RNA gene, partial sequence"	Stenotrophomonas
ASV133	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Garicola		"Nesterenkonia alba strain RH-1 16S ribosomal RNA gene, partial sequence"	Garicola
ASV134	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus		"Rhodococcus qingshengii strain 367-6 16S ribosomal RNA gene, partial sequence."	Rhodococcus
ASV135	Bacteria	Firmicutes	Bacilli	Bacillales	Order_Bacillales	Order_Bacillales		"Uncultured bacterium clone a1009 16S ribosomal RNA gene, partial sequence"	Order_Bacillales
ASV136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		"Uncultured bacterium clone A255 16S ribosomal RNA gene, partial sequence"	Methylobacterium-Methylorubrum
