	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV22	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter		"Uncultured bacterium clone 16S_rRNA_OTU_104162 16S ribosomal RNA gene, partial sequence"	Commensalibacter
ASV23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	helsingborgensis	"Lactobacillus helsingborgensis strain ESL0183 chromosome, complete genome"	Lactobacillus Firm5
ASV24	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Frischella		"Uncultured bacterium clone 16S_rRNA_OTU_4363685 16S ribosomal RNA gene, partial sequence"	Frischella
ASV25	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Libidibia coriaria mitochondrion, complete genome"	Family_Mitochondria
ASV26	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV27	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mellis	"Lactobacillus sp.A A85 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus melliventris strain Dan2 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV30	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Gynoxys mandonii isolate SEN04 voucher B:DB27409 plastid, complete genome"	Order_Chloroplast
ASV31	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Rosa rugosa chloroplast, complete genome"	Order_Chloroplast
ASV32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 1666 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV33	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella		"Shigella sonnei strain SE6-1 chromosome, complete genome"	Escherichia-Shigella
ASV34	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Prosopis cineraria chloroplast, complete genome"	Order_Chloroplast
ASV35	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter		"Acetobacteraceae bacterium strain IM_V(L)3 16S ribosomal RNA gene, partial sequence"	Commensalibacter
ASV36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella		"Uncultured bacterium clone 16S_rRNA_OTU_843074 16S ribosomal RNA gene, partial sequence"	Bartonella
ASV37	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Chelidonium majus chloroplast, complete genome"	Order_Chloroplast
ASV38	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mellifer	"Uncultured bacterium clone 16S_rRNA_OTU_826331 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV39	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV40	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Xanthoceras sorbifolium mitochondrion, complete genome"	Family_Mitochondria
ASV41	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium		"Uncultured Acetobacteraceae bacterium partial 16S rRNA gene, clone B9_49"	Acidiphilium
ASV42	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV43	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus melliventris strain Dan2 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV44	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone A1192 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV45	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Taihangia rupestris isolate 130125 18S ribosomal RNA (rrn18) gene and rrn18-rrn5 intergenic spacer, partial sequence; mitochondrial"	Family_Mitochondria
ASV46	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Mirabilis himalaica mitochondrion, complete genome"	Family_Mitochondria
ASV47	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU6329 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV48	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Uncultured bacterium isolate DGGE gel band db1206 16S ribosomal RNA gene, partial sequence"	Family_Mitochondria
ASV49	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera		"Uncultured bacterium clone CP_Otu1515 16S ribosomal RNA gene, partial sequence"	Truepera
ASV50	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Candidatus Blochmannia		"Blochmannia endosymbiont of Camponotus (Tanaemyrmex) sp. 263 16S ribosomal RNA gene, partial sequence"	Candidatus Blochmannia
ASV51	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Aquipuribacter	hungaricus	"Uncultured bacterium clone QCS4_Act_040 16S ribosomal RNA gene, partial sequence"	Aquipuribacter
ASV52	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Xanthoceras sorbifolium mitochondrion, complete genome"	Family_Mitochondria
ASV53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus sp. B3_7MCO2 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV54	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Family_Enterobacteriaceae		"Enterobacter cloacae strain R16 16S ribosomal RNA gene, partial sequence"	Family_Enterobacteriaceae
ASV55	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium		"Uncultured bacterium clone MB5-4 16S ribosomal RNA gene, partial sequence"	Acidiphilium
ASV56	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	"Uncultured bacterium clone HUSOE0I01AZRX1 16S ribosomal RNA gene, partial sequence"	Snodgrassella
ASV57	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga		"Uncultured bacterium clone HL15-40 16S ribosomal RNA gene, partial sequence"	Microvirga
ASV59	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV60	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sonchus asper isolate VIL-1 chloroplast, complete genome"	Order_Chloroplast
ASV61	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Family_Micrococcaceae		"Arthrobacter agilis strain BE1 16S ribosomal RNA gene, partial sequence"	Family_Micrococcaceae
ASV62	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea		"Pantoea agglomerans strain HTP 16S ribosomal RNA gene, partial sequence"	Pantoea
ASV63	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Lotus japonicus B-129 mitochondrial DNA, complete genome"	Family_Mitochondria
ASV64	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Lagerstroemia indica mitochondrion, complete genome"	Family_Mitochondria
ASV65	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Ligustrum quihoui chloroplast, complete genome"	Order_Chloroplast
ASV66	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Lotus japonicus B-129 mitochondrial DNA, complete genome"	Family_Mitochondria
ASV67	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella	intestini	"Acetobacteraceae bacterium strain IM_G(L)3 16S ribosomal RNA gene, partial sequence"	Bombella
ASV68	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured Lactobacillus sp. clone SHOG722 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV69	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured bacterium clone DCA-B01-33 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV70	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		"Actinobacteria bacterium strain 10BTP-3 16S ribosomal RNA gene, partial sequence"	Nocardioides
ASV71	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Paris tetraphylla chloroplast, complete genome"	Order_Chloroplast
ASV72	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV73	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	aquaticus	"Uncultured bacterium clone OTU1146_L_2_SC_60793 16S ribosomal RNA gene, partial sequence"	Nocardioides
ASV74	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone Otu1345 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV75	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Cuminum cyminum chloroplast, complete genome"	Order_Chloroplast
ASV76	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Rhododendron delavayi var. delavayi chloroplast, complete genome"	Order_Chloroplast
ASV77	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Family_Sphingomonadaceae		"Uncultured bacterium clone denovo20882 16S ribosomal RNA gene, partial sequence"	Family_Sphingomonadaceae
ASV78	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		"Enterococcus thailandicus strain 2545 16S ribosomal RNA gene, partial sequence"	Enterococcus
ASV79	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Marisediminicola		"Uncultured microorganism clone uncultured_Microbacteriaceae_OTU1175 16S ribosomal RNA gene, partial sequence"	Marisediminicola
ASV80	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	fructosus	"Fructobacillus fructosus strain DPC7235 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV81	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Family_Enterobacteriaceae		"Phaseolibacter flectens strain T7F1(3) 16S ribosomal RNA gene, partial sequence"	Family_Enterobacteriaceae
ASV82	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Libidibia coriaria mitochondrion, complete genome"	Family_Mitochondria
ASV83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium		"Uncultured bacterium clone A601 16S ribosomal RNA gene, partial sequence"	Rubellimicrobium
ASV84	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella		"Enterobacter sp. strain M5 16S ribosomal RNA gene, partial sequence"	Klebsiella
ASV85	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Monotropa hypopitys chromosome 1 mitochondrion, complete sequence"	Family_Mitochondria
ASV86	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Order_Corynebacteriales	Order_Corynebacteriales		"Uncultured bacterium clone 1716 16S ribosomal RNA gene, partial sequence"	Order_Corynebacteriales
ASV87	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus	persicus	"Uncultured Aliicoccus sp. clone OTU68 16S ribosomal RNA gene, partial sequence"	Aliicoccus
ASV88	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Aquipuribacter		"Aquipuribacter sp. strain R-67807 16S ribosomal RNA gene, partial sequence"	Aquipuribacter
ASV89	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter		"Uncultured bacterium clone 16S_rRNA_OTU_2961407 16S ribosomal RNA gene, partial sequence"	Apibacter
ASV90	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus sp. B7_2BO2 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV91	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. HDW15C chromosome, complete genome"	Sphingomonas
ASV92	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella		"Raoultella ornithinolytica strain RT1902 16S ribosomal RNA gene, partial sequence"	Raoultella
ASV93	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. strain R-68700 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV94	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera		"Uncultured bacterium clone denovo11457 16S ribosomal RNA gene, partial sequence"	Candidatus Alysiosphaera
ASV95	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 1513 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV96	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella		"Tatumella ptyseos strain CC45 16S ribosomal RNA gene, partial sequence"	Tatumella
ASV97	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone 123 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV98	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingoaurantiacus		"Uncultured bacterium clone CP_Otu2101 16S ribosomal RNA gene, partial sequence"	Sphingoaurantiacus
ASV99	Bacteria	Firmicutes	Bacilli	Bacillales	Order_Bacillales	Order_Bacillales		"Uncultured bacterium clone a1009 16S ribosomal RNA gene, partial sequence"	Order_Bacillales
ASV100	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella		"Gilliamella apicola strain LU6 16S ribosomal RNA gene, partial sequence"	Gilliamella
ASV101	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia		"Uncultured bacterium clone LMP12_16S_OTU_0742 16S ribosomal RNA gene, partial sequence"	Pseudonocardia
ASV102	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured bacterium clone dongzytff25919 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV103	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Order_Enterobacterales	Order_Enterobacterales		"Enterobacter hormaechei strain AKB48 chromosome, complete genome"	Order_Enterobacterales
ASV104	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055		"Uncultured microorganism clone uncultured_Sphingomonas_sp._OTU0158 16S ribosomal RNA gene, partial sequence"	Ellin6055
ASV105	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Psidium cattleyanum plastid, complete genome"	Order_Chloroplast
ASV106	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Family_Chroococcidiopsaceae		"Uncultured Pleurocapsa sp. clone OTU_33 16S ribosomal RNA gene, partial sequence"	Family_Chroococcidiopsaceae
ASV107	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured organism clone ELU0092-T15-S-NI_000246 small subunit ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV108	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. LE-112 gene for 16S ribosomal RNA, partial sequence"	Sphingomonas
ASV109	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania		"Erythrobacteraceae bacterium Ri2Ps_5137 gene for 16S rRNA, partial sequence"	Qipengyuania
ASV110	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	symbiotica	"Serratia symbiotica clone 27_Re 16S ribosomal RNA gene, partial sequence"	Serratia
ASV111	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Yosemitea repanda chloroplast, complete genome"	Order_Chloroplast
ASV112	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"PREDICTED: Brassica rapa uncharacterized mitochondrial protein AtMg01280-like (LOC117125891), mRNA"	Family_Mitochondria
ASV113	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Uncultured bacterium clone Phil_e14 16S ribosomal RNA gene, partial sequence"	Family_Mitochondria
ASV114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium		"Uncultured bacterium clone AK4AB2_10A 16S ribosomal RNA gene, partial sequence"	Rubellimicrobium
ASV115	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Fibrella		"Uncultured bacterium clone DCA-B01-55 16S ribosomal RNA gene, partial sequence"	Fibrella
ASV116	Bacteria	Actinobacteriota	Actinobacteria	Class_Actinobacteria	Class_Actinobacteria	Class_Actinobacteria		"Uncultured bacterium clone 17941 16S ribosomal RNA gene, partial sequence"	Class_Actinobacteria
ASV117	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium		"Uncultured bacterium clone A1435 16S ribosomal RNA gene, partial sequence"	Corynebacterium
ASV118	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured bacterium clone dongzy2tff25086 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV119	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus		"Uncultured Aliicoccus sp. clone OTU68 16S ribosomal RNA gene, partial sequence"	Aliicoccus
ASV120	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone denovo8277 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV121	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Litsea cubeba chloroplast, complete genome"	Order_Chloroplast
ASV122	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Citricoccus		"Citricoccus zhacaiensis strain AS48 16S ribosomal RNA gene, partial sequence"	Citricoccus
ASV123	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV124	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Phytophthora sp. novaeguinee culture ICMP:19637 mitochondrion, complete genome"	Family_Mitochondria
ASV125	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	faeni	"Frigoribacterium sp. strain YMA_27 16S ribosomal RNA gene, partial sequence"	Frigoribacterium
ASV126	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga		"Uncultured Salinibacter sp. clone OTU_11166 16S ribosomal RNA gene, partial sequence"	Rubrivirga
ASV127	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1		"Uncultured bacterium clone NTS001Powerb3_344 16S ribosomal RNA gene, partial sequence"	PMMR1
ASV128	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		Setaria viridis cultivar ME034v chromosome 1	Family_Mitochondria
ASV129	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia		"Uncultured bacterium clone A588 16S ribosomal RNA gene, partial sequence"	Romboutsia
ASV130	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Order_Frankiales	Order_Frankiales		"Uncultured bacterium clone D02 16S ribosomal RNA gene, partial sequence"	Order_Frankiales
ASV131	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina		"Uncultured bacterium clone A246 16S ribosomal RNA gene, partial sequence"	Paenisporosarcina
ASV132	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sesbania cannabina voucher IBSC:L.Duan 2018009 chloroplast, complete genome"	Order_Chloroplast
ASV133	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Family_JG30-KF-CM45		"Uncultured bacterium clone OTU361 16S ribosomal RNA gene, partial sequence"	Family_JG30-KF-CM45
ASV134	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured bacterium clone dongzy2tff19379 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV135	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera		"Uncultured bacterium clone denovo17173 16S ribosomal RNA gene, partial sequence"	Quadrisphaera
ASV136	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma		"Uncultured bacterium clone HAV7D9G03CELJK 16S ribosomal RNA gene, partial sequence"	Spirosoma
ASV137	Bacteria	Firmicutes	Bacilli	Bacillales	Order_Bacillales	Order_Bacillales		"Bacillus circulans strain GN03 chromosome, complete genome"	Order_Bacillales
