Sample_ID	HH	Replicate	Colonization	"2,8-Dihydroxyquinoline"	Phenylalanine	Cysteine	Glycerol	Ornithine_1	Glutamic Acid	Taurine	Glycine	Succinic Acid	Norleucine	Proline	Lactic Acid	Alanine	Sarcosine	Valine	Urea	Pipecolic Acid	Threonine	B-Alanine	3-Amino-2-piperidone	Timonacic Acid	Malic Acid	Erythritol	Threitol	Aspartic Acid	5-Oxoproline	4-Aminobutanoic Acid	Unknown_11_73	"2,4-Di-tert-butylphenoxy"	Hydroxyproline	Ornithine_2	Citric Acid	Fructose	Glucose	Sorbitol	Glucitol	Asparagine	Unknown_16_62	Putrescine	Acetylglutamic Acid	Glycerol-3-phosphate_1	Glutamine	Phosphorylethanolamine	Glucose-6-phosphate	Inosine	Sucrose	Lactose	Isoleucine	Galactose	Tyrosine	Myo-Inositol_1	Gluconic Acid	Serine	Myo-Inositol_2	Glycerol-3-phosphate_2	Adenosine	Fumaric Acid	Unknown_6_94	Uracil	Phosphate	Methylmaleic Acid
11	3617	1	MD	3.967409519	0.182395298	-0.195957726	-0.831602374	-1.162755404	0.860123108	7.086287374	0.082350486	0.286545903	-2.008790676	-1.149281977	-0.132317966	-0.629584939	0.049115034	0.416818272	2.070010594	6.193208896	0.229694046	0.060305753	0.892509636	0.151118275	-0.210974329	1.620332843	2.627777077	0.496697563	0.097311458	0.462589085	-1.168368949	0.062272022	-0.464071888	0.003694779	0.614180453	-1.204068969	-0.726505949	-0.220304369	-0.508318842	0.850585573	-0.100654442	-0.33722543	0.776119219	-1.390733572	-0.233457249	0.561914825	-0.802498279	1.475738769	-0.555374367	-1.049587866	-0.522076259	-1.128280873	-0.414661901	0.59198618	0.005469298	-0.528067212	-1.397576095	-0.284094496	-0.706782724	0.924910699	-0.620181175	1.787273469	2.407849083	4.097029791
12	5257	1	MD	1.728540741	0.211627753	-1.233295674	-0.644081314	-1.333699454	-0.193225641	0.117860815	-1.115486409	-0.40708239	-0.126041978	-1.08653862	-0.386471261	-1.080834155	-0.978742503	-0.893454685	-0.257958975	-0.056270355	-0.009466699	-0.928440771	-0.474849788	-1.161762844	-0.615801925	-0.63665186	-0.456196887	-0.276769475	-0.800412952	-0.46054533	-0.439106593	1.113434207	-0.362107445	-0.984692323	-0.489382465	-0.615720954	-0.624252942	-0.713683131	-0.393691351	-0.448254562	-0.830964491	-0.867181731	-0.781354799	-0.836607283	-0.974321734	-0.134902963	-1.124526716	-0.610168637	-0.463575097	-0.336336882	0.408093683	-0.931486895	-0.404782921	-0.972060892	0.066194271	0.031210567	-0.980176824	-0.283151862	1.153148646	1.027502951	-0.619069659	-0.607795259	1.775682885	3.134816611
16	3983	1	MD	1.837874383	0.213644499	0.222729114	-0.848426328	-1.316293181	0.09845129	0.89398602	-0.548466229	-0.781673052	-1.185088121	-1.168958619	-1.078988503	-0.206271586	0.09103549	-0.092399152	0.105882971	-0.034018083	-0.160229709	-0.271939613	0.268066895	0.401465953	-0.915656468	0.594633775	0.662901683	-0.548451618	-0.179407059	-0.334413739	-1.14973378	0.020085962	-0.147302916	-0.362053813	0.315708304	-0.357312781	-0.691110948	-0.42185441	-0.564647161	-0.469233439	0.044397526	-0.665369175	-0.215013735	-1.33945703	-0.306518649	1.168266545	-1.401990075	0.030713715	-0.193079585	-0.726169856	-0.135441897	-0.83771107	-0.722615908	0.149222918	-1.117246955	-1.067148735	-1.280860159	0.088351924	0.314126407	0.664342573	-0.190975138	-0.199485212	1.325215708	1.746922397
17	66	1	MD	1.615781563	1.344016488	-0.14184031	0.576787417	-0.41720861	0.512936975	1.675753809	0.079357805	1.19232251	-0.690866588	-0.590402522	1.485380423	-0.417310728	0.448545115	0.655042041	0.408625172	3.548506003	0.766637367	-0.364188665	0.459699698	0.042259483	-1.259450253	0.842513803	1.943270806	0.17725647	0.382057344	0.032789324	-0.022124531	1.660344821	0.06882227	0.256079467	-0.348999957	-0.946982711	-0.765408599	-0.657659629	-0.73546331	0.486142137	0.705601392	-0.76165102	1.087218201	-1.531983763	0.349366281	0.415137539	-1.385937281	0.09745604	-0.481433198	0.470518343	-0.615416033	-0.69300353	-0.714763948	0.31341045	-0.847519833	-0.499304146	-1.547999931	-2.010304838	2.105953373	0.167120685	-0.09216973	0.653570905	0.765483459	1.165387444
18	3766	1	MD	1.598367766	-0.319468836	-0.046137414	-0.339994567	-0.596668767	0.710478409	2.505120249	0.521347723	0.829101374	-1.621165944	-0.675473495	-0.095586916	-0.365492654	0.534357407	0.3049496	0.350843564	8.201372703	0.082859095	-0.843469393	0.257771199	0.110744113	-0.868355687	4.128079923	6.420375395	0.1755987	0.684420917	0.092565533	-1.070215292	0.555477396	-0.020727144	-0.244667218	-0.155735588	-1.070940351	-0.73740797	-0.081294439	0.31898168	0.176177797	0.859827346	-1.021372302	1.049850638	-1.547642426	0.819148715	0.837980259	-1.388942582	-0.217253318	-0.529856003	-0.311200469	-0.649937347	-0.64791948	-0.75143478	0.398239258	-0.457806538	-0.986690667	-1.68932473	-0.289221181	-1.305132188	0.358255992	0.001384555	-0.13758341	1.350904331	1.476525106
19	1057	1	MD	0.579727555	-0.501275668	-0.804336037	-0.698253568	-1.337618792	-0.614857793	-0.113336636	-0.937857544	-0.433781371	-1.621165944	-0.833126042	-1.250257839	-0.888121231	-1.141062164	-1.209934943	-0.570346197	0.751071956	-0.93991506	-1.310419464	-0.451394795	-0.565557922	-1.163804125	-0.252799484	-0.507412843	-0.83029598	-0.788686158	-1.050088058	-1.694368098	-0.1837217	-0.042965596	-0.945399616	-1.207534602	-0.346679532	-0.659749805	-0.70004179	-0.918464125	-0.426938749	-0.828250056	-0.94210533	-1.163352326	-1.2987175	-0.879203729	-0.654144599	-1.319470803	-0.322825407	-0.171376911	-0.738647002	-0.947641751	-0.653810015	-0.733226903	0.33570231	-0.295566129	-0.682796231	-1.287645187	-1.106437661	0.523967692	0.04128338	-0.096445406	-0.386774294	0.749032161	2.479788349
20	4226	1	MD	1.9063955	0.139285235	-0.985211172	-0.002939867	-1.323789378	-0.462720677	-0.246102065	-1.164735001	-0.493486996	0.525678725	-1.028146513	-0.182834023	-0.996768215	-1.160426395	-1.054694196	0.009037544	0.29801965	-0.147677233	-1.420022455	-0.628115321	-0.863491181	-0.604115531	-0.461619981	-0.889442793	-0.947555984	-0.861422201	-0.905151161	-1.184080782	0.611113084	0.567376729	-0.732552509	-1.243526347	-0.341846579	-0.678049074	-0.518533274	-0.731474164	-0.65320083	-1.1295904	-0.883567023	-1.47056826	-1.216653253	-1.113195443	-0.429075716	-1.215799254	-0.651706784	-0.391191374	-0.48559046	-0.650073649	-0.604163262	-0.926648897	0.225030071	-0.819755185	-0.603857346	-1.210815435	-0.616226594	1.00731357	2.349753709	0.075291904	-0.290694395	1.113316411	2.284564753
22	9972	2	CL	0.849116401	-0.823079221	-1.217234471	0.207245549	-1.655386123	-1.007621905	-0.290234179	-1.297613349	-0.96143575	-0.126041978	-0.903007885	0.853535427	-0.963981327	-0.962148516	-1.085714953	-0.213522725	-0.107263441	-0.668477997	-1.195814334	-1.102822275	-1.386506222	-0.182226652	-0.960436158	-0.671875067	-1.036687111	-1.169622281	-1.369329115	-0.725877155	0.48292336	-0.57677296	-1.047845357	-1.006100538	-0.798641638	-0.69793232	-0.525757986	-0.629199632	-0.668734972	-0.871792175	-0.893537257	-1.136790462	-0.232839677	-0.940069463	-0.395408445	0.517984601	-0.381212849	-0.366936995	-1.143527044	-0.466639977	-1.047607908	-0.204646044	-0.883139357	0.699004452	-0.712984866	-0.407045253	-0.868446588	-1.010133927	-0.843331906	-0.755728208	-0.423061403	0.811673879	1.241762414
23	11119	2	CL	-0.33304686	0.365374245	-1.028954966	1.701934488	-0.891363096	-0.55746728	-0.14163373	-1.012884402	-0.533913426	-1.185088121	-0.453804305	-0.188068246	-0.978385428	-0.678100461	-0.094804698	-0.831417955	-0.397452981	-1.253024681	-0.815287568	-0.088128666	-0.707537638	-0.685567754	-0.6641879	-0.469858659	-0.217221479	-0.835823701	-0.830540748	-1.597069364	0.329690849	-0.507743766	-0.425998651	-0.54637911	-0.829622388	-0.717991232	-0.372182671	-0.88745997	-0.352293565	-0.455776471	-0.868805355	-0.235684084	0.274977344	-0.513247256	-0.187066692	0.150163535	0.414478805	-0.431978511	-0.921487861	-0.375717471	-0.85806665	0.631118422	-0.66688454	-0.254893179	-0.709038237	-1.069535817	-1.025913312	0.423495768	-1.200158756	-0.706958591	-0.505840921	0.65078739	0.279140214
24	10433	2	CL	-0.501001077	0.920331683	-0.882380391	0.727447645	0.289853998	1.100474087	0.63038039	0.193160107	0.010386165	-0.126041978	0.817918458	0.341572223	0.048434527	0.362999874	-0.017558413	0.410257898	-0.307029642	-0.517545917	0.707161318	0.707760284	-0.40439292	-0.289638284	-0.343708908	-0.995421487	1.505910561	0.370648847	0.15182304	-0.755830269	0.663024659	-0.75722764	0.714217446	0.776250743	-0.380162874	-0.193018342	0.053908775	0.084804647	0.498873723	0.429308197	-0.490698296	0.688922588	2.785125616	0.530887674	0.446013241	-0.458183556	-0.404021465	-0.231850494	-0.425760853	1.159650905	-0.305656118	0.898598195	-0.67154636	-0.98510516	0.460605174	0.756328654	0.857113871	-1.213303976	-0.643049846	-0.619881487	0.695335222	0.578898153	2.109440745
25	10365	2	CL	-0.722779025	0.191222181	-1.248849418	-0.273068692	-0.940565341	-0.507251482	-0.225749605	-0.562906659	-0.506771308	-1.185088121	-0.467755355	0.61903324	-0.70296766	-0.793956941	-1.025530285	-0.312058354	-0.051860623	-0.472012291	-0.631828875	-0.942106824	-0.93729047	-0.623165501	-0.942614588	-0.629284994	-0.131883354	-0.695059877	-0.786356459	-1.247398228	0.212237214	-0.466654566	0.3442731	0.076384402	-0.337785672	-0.105154562	-0.092514376	-0.508544949	0.500808823	-0.265869522	-0.625272295	-0.595445419	-0.112343546	-0.505769348	-0.020093175	-0.32518461	-0.151874399	-0.36073387	-0.952899412	-0.143386492	-0.006558838	0.882474126	-0.53618417	-0.173209358	-0.266951978	-0.400034546	0.404104552	1.225983349	-0.647325301	-0.601673738	-0.570028079	0.300407003	0.511921602
26	8807	2	CL	-0.366185336	0.485219014	-1.34536772	-0.450774851	-0.929839508	0.101974551	0.008029673	-0.496758655	-1.195108221	-0.126041978	-0.11330123	1.056283847	-0.470787085	-0.074617417	-0.582070207	0.117100815	0.249572999	-0.024507319	-0.180147377	-1.488524832	-0.769441672	-1.386557275	-0.726597858	-0.388710751	0.775569003	-0.159610006	-0.350171521	-0.580626416	0.660666344	-0.419417451	-0.456790474	-0.220964158	-0.222379777	-0.222080682	-0.305675094	0.166651599	-0.76243992	0.117244023	-0.288008663	0.046305941	-0.044900499	-0.194381944	0.064378502	-0.69968415	-0.87564952	-0.206464181	0.002203128	0.007240396	-0.193513827	-0.399393361	-0.926512038	1.022725987	0.116159641	-0.199995035	0.906192619	-0.778429427	-0.738859366	-0.50598736	-0.740505455	0.310925454	2.144417362
27	7173	2	CL	-0.160889396	-0.487783713	-1.472420415	-0.210232717	-2.235913236	-1.626772741	-0.764579299	-1.7501132	-2.097163379	1.286019545	-1.428323564	2.456726611	-2.036821386	-0.630383419	-0.886737847	-0.360414012	-0.447000561	-1.310582011	-1.671488431	-1.137207263	-1.595936229	-1.849348477	-0.91528169	-0.724616221	-1.104629871	-1.072563261	-1.688536265	-0.476907461	1.287743831	4.70638045	-2.035491067	-1.187811154	-0.855505942	-0.658838539	-0.955845348	-0.39395394	-1.400767567	-1.480396352	-0.868634296	-1.480935118	-1.982649056	-1.499016902	-1.501276043	0.60302015	-0.051210983	-0.188460807	-0.992113041	-1.693984161	-0.307230646	-0.448137651	-0.953210448	-0.507962218	-1.345558376	-1.922997598	-1.998038378	-0.992353339	-0.881507368	0.480306231	-1.64163275	1.799966715	2.954530999
28	6716	2	CL	0.320432148	0.293831265	-1.325631412	-0.081225069	-1.816778791	-0.984726448	-0.440733089	-0.899554348	-1.226320954	3.262905678	-0.564546425	3.805564976	-1.282299137	0.646473751	0.206141471	0.46935161	-0.293883693	-0.490685897	-0.712895961	-2.932930917	-1.317912951	-0.928540344	-0.602661475	-0.040709636	-0.081981	0.395437307	-0.376718564	0.90529578	2.470846027	5.794011704	-1.68110027	0.135071895	-0.799296461	-0.782494237	-0.545221231	-0.536744113	-1.395161365	-0.740788666	-0.737428206	0.464249731	-1.676028429	-0.905371181	-1.281877142	-0.716761367	-0.505225408	0.129962628	-1.232922723	-1.113813151	-0.691066051	0.324029505	-1.010862382	-0.530769136	-1.102838664	-1.206875964	-1.984617516	2.547868029	0.027386952	2.663533042	-1.364980825	-0.20275755	1.488034147
29	13586	2	CL	0.325742357	-0.086726322	-0.47012837	0.612296855	-0.716051649	-0.677305237	0.326302083	-0.133189212	0.129359373	2.184604151	-0.571141204	2.478089584	-0.074762134	0.150441976	-0.914200931	-0.416867425	-0.287397617	-0.628245987	-0.706700511	1.206228956	-0.309833112	1.612046288	-0.917055717	-0.929285067	-0.205032379	0.710094948	-0.117668026	-0.138132789	1.226433882	3.535978138	-0.377396581	-0.187376675	-0.919397991	-0.521517537	-0.490397567	-0.058375207	-1.401100292	-0.177611285	-0.83280766	0.209440567	0.574152667	-0.574632902	0.879998776	0.184397655	0.021808568	-0.547756422	-0.411106015	-0.267615123	0.074293446	2.893273022	-1.012933857	-1.054050611	-0.404768597	-0.063656394	0.292372093	1.252681782	1.586704476	4.181160057	1.573648929	1.737076557	2.194239255
30	8047	2	CL	-0.515890422	0.813561416	-1.064594741	0.608605249	-0.677783325	0.016833929	0.537301926	0.364375794	-0.266403011	-0.690866588	0.343698134	0.496417198	-0.213695876	0.328902148	0.039925957	-0.258637771	1.285434645	1.094126049	1.10620651	0.123645027	-0.628238939	-0.153966091	0.230862457	0.157746213	2.315339772	2.251325223	1.15086082	-0.886526482	0.60589436	2.889843939	-1.199559346	0.914634002	0.354181995	0.472213696	0.349808616	1.243955228	-1.408962862	-0.042001344	-0.156133855	1.540065423	0.718238267	-0.207327566	0.922486802	-0.360892043	-0.37328669	-0.001194125	0.310975964	-0.039035174	1.144702122	0.458366657	-0.852926634	-0.709118887	-0.231325245	0.519409541	-0.123583796	-0.948932034	-0.04676832	4.457041864	0.866929527	0.413501944	2.051038642
31		2	CL	0.161414527	1.576313979	-0.778523977	0.049397233	-0.018279303	0.245891529	0.788052933	0.994704765	0.935007148	-0.690866588	1.009164648	1.568405139	0.85812635	0.353761135	-0.290780639	-0.513779372	-0.037839359	1.831434372	1.269798369	0.100516558	0.252540457	0.640154003	0.33860013	0.218334561	1.554518754	2.175229255	0.862192983	-0.562976274	0.882823031	2.107823909	-0.235407739	2.600775263	-0.299707639	-0.162557615	0.249960647	0.449904398	-0.218602653	0.405323426	-0.435398877	1.666046408	1.432453239	0.173898183	1.006226513	-1.151449993	0.118191442	-0.060535123	-0.302740097	2.301494963	0.514131108	0.355633183	0.235609657	-0.609967668	1.119703688	1.158896923	1.179767921	-0.781446474	1.068538629	5.731914417	0.897519113	1.100961377	2.034455184
32	4841	2	MD	0.244773401	-0.317451738	-0.579542178	0.203406243	-1.436383736	-0.510843837	0.051945966	-0.876567361	-0.642005513	-1.185088121	-0.669598583	-0.092645309	-0.669560089	0.650015401	-0.94071316	-0.229771059	-0.369352333	-0.837989036	-0.6430498	-1.018411511	-0.635508952	-1.623488335	0.005720076	-0.996458496	-0.22168015	-0.734373736	-0.8003879	-1.260195951	0.220807871	-0.762281673	-1.333908043	-0.523940582	-0.836725042	-0.505809285	-0.243601318	0.274236446	-0.981173942	-0.167953231	-1.080118884	-0.50399492	-1.242274832	-0.414670248	-1.522211425	-1.005395994	-0.711404855	-0.270307817	-0.609157882	-1.31557028	-0.670109	-0.941842953	-0.566914691	-0.487949333	-0.77074668	-0.985725066	-1.529891714	-0.20739927	-1.145127279	-0.729813015	-0.133778075	0.771419304	2.326369347
33	5494	2	MD	0.020037386	-0.014951512	-0.834586246	0.508803279	-0.575058026	-0.17231678	0.007894139	-0.405902668	-0.010726156	0.525678725	-0.692543229	1.58179634	0.492249474	-0.345541923	-0.512775118	1.366410877	-0.448889317	-0.004269771	-0.150814748	-0.391278065	-0.040043023	0.560036345	0.068915518	-0.995092123	0.171846002	-0.337816772	0.419646183	-0.48824173	0.718146455	-0.497552748	-0.756971737	1.207378117	-0.18629614	-0.3203599	0.181838773	0.913410872	0.064730537	0.146183832	-0.926559566	-0.60768878	-0.716377922	-0.260270069	-0.870300757	-0.993761453	-0.944492118	-0.432352436	0.044196562	-0.269864126	-0.381984346	-0.41769055	-0.136113686	0.50628239	-0.062228155	-0.700805044	0.22913377	0.757361386	1.771428867	-0.489604383	0.329290999	0.586058746	1.898509624
34	9607	2	MD	-0.588491795	0.08147842	-0.811485849	0.011527067	-0.021889696	0.087753034	0.180579567	-0.097552476	-0.209432329	-0.690866588	-0.344334342	-0.088390899	0.183435511	0.229198798	-0.971834655	0.128688711	-0.230170549	0.405570014	-0.094508527	0.618007459	0.25752322	-0.742405738	-0.326645992	-0.245950307	0.261009075	-0.177038942	0.097633085	-0.686166831	0.119643742	-0.526488202	-0.02887063	0.585712781	1.123567526	1.0073074	0.500825301	1.865962612	0.367548639	0.211876884	-0.666729101	0.100865356	-0.436381883	0.000932441	0.164011277	-1.280525961	-0.946548278	-0.147635511	0.687331359	-0.560997808	0.630462265	-0.587741833	-1.015940228	0.330894185	0.233733464	-0.168598175	0.552027672	-1.202817341	0.397725515	-0.460648232	0.861657526	1.017181471	1.297196729
37	6591	2	MD	-0.439518426	0.752515413	0.048936696	0.953395037	-0.571906464	0.212629264	0.694261696	0.527817815	0.544317578	-0.126041978	-0.272991175	0.810957164	0.187269731	1.605867316	-0.961878644	3.600645839	-0.077605535	-1.252434648	2.082252957	-0.430109281	0.37471947	-0.048050686	1.233386708	1.413329715	1.591581614	2.532598632	1.584039994	-0.557789607	1.214020954	2.835790424	-0.714592948	1.367605122	0.380040446	-0.045233749	1.146805042	2.134560742	-1.173467036	0.344135311	-0.781830822	1.300206087	1.22949264	0.168211583	0.692647725	-1.171718036	-0.200986118	-0.469124188	0.881713247	-0.01653628	0.491937442	0.407528746	-0.868651809	0.521823099	0.141376334	0.893984247	0.772746393	-1.327357896	0.702394234	4.617262497	0.550234819	0.691963177	-0.023478303
