Sample_ID	Replicate	Injection	Colonization	HH	Propylene glycol	"2,3-Butanediol"	Lactic Acid	"2-Pyrrolidinone, 1-methy"	Alanine	Methylsuccinimide	Sarcosine	3-Pyridinol	Valine	Unknown 4.5703	Urea	Glycerol	Phosphate	Leucine	Isoleucine	Proline	Glycine	Succinic Acid	"Diethylene glycol, n-butyl ether"	Fumaric Acid	Serine	Unknown 6.94	Pipecolic Acid	para-Isopropylbenzoic Acid	Threonine	B-Alanine	3-Aminoisobutyric Acid	Timonacic Acid	Malic Acid	Threitol	Arabinofuranose	Erythritol	Tromethamine	Aspartic Acid	5-Oxoproline	3-Hydroxyproline	4-Aminobutanoic Acid	2-Oxoglutaric Acid	Ornithine	Glutamic Acid	Phenylalanine	Homocysteine	Taurine	"2,8-Dihydroxyquinoline"	Asparagine	Ribitol	Unknown 16.6246	Putrescine	Unknown 17.1507	Glycerol-3-phosphate	Glutamine	Phosphorylethanolamine	Methionine	Citric Acid	Galacto-Hexodialdose	Cadaverine	Unknown 19.5708	Adenine	Fructose	Gluconolactone	Glucose	Unknown 20.7569	Sorbitol	Glucitol	Tyrosine	Myo-inositol_1	Maltose	Altrose	Gluconic Acid	Galactose oxime	Myo-inositol_2	Uric Acid	Adenosine	Inosine	Sucrose	Lactose
11	1	2	MD	3617	-0.883366123	-1.692826024	0.23606346	-0.912545414	-1.376256807	-1.025228134	0.537579134	-0.337458834	-0.381682561	0.020340791	-0.981878356	-0.227650243	1.109339137	-0.587697748	-1.161815532	-0.949263909	-0.152888038	-0.665531034	-0.784935985	-0.539600541	-1.563838819	-1.466773567	6.136537662	0.596718933	-0.720450396	-1.758243299	-1.728909997	-0.448714617	-0.712362993	0.702423164	0.639527238	1.342237809	3.621018868	-1.127348351	0.252529806	-0.06855224	-0.410307796	-1.574639715	0.472506901	0.974223415	-0.142401117	1.076680782	2.057233331	4.01768712	0.77195031	-0.860846266	0.083623481	-0.571092226	0.9105643	-0.125973837	0.32717588	0.101296067	0.459742133	-1.290804113	-0.551975179	-1.172953934	0.509460257	1.223942074	-1.227159689	-0.492273106	-0.988830098	0.103663352	-0.031257535	-0.888106875	-0.452664477	-0.259644055	-0.886192488	-0.74806908	-0.404074304	-0.634800897	-1.264397442	0.258209935	2.051927631	-1.336314255	-0.939215517	-0.465987123
12	1	4	MD	5257	-0.533244757	-1.394708767	-0.068637483	-0.46236408	1.000119922	-0.602585092	-0.053375629	-0.826014326	-0.781229493	-0.03205263	-0.232448871	-0.594765709	1.363908532	0.321413939	1.237429382	-0.072877562	-0.084629834	0.192112565	-0.331483818	-0.098911887	0.866684964	-0.761634247	0.68336898	1.83712241	1.02738009	-0.045877226	-0.703628009	0.302646241	0.352631055	-0.470497712	0.625634617	-0.54066151	3.080244554	1.451934191	-0.011001938	1.182594864	0.748354435	-0.390139281	0.401938699	1.721654639	0.632594084	1.304544665	0.521727126	1.243770177	0.747075025	0.23377347	-0.525004196	-0.364902355	1.072868478	1.265671688	-0.260579795	0.359090279	1.249247485	-0.368329492	-0.502607729	-0.037444878	0.882429729	0.073673099	-0.84775154	-0.483489412	-0.797330544	0.468071638	-0.135631299	-0.157969638	-0.302932542	-0.710072583	-0.622638053	-0.426092989	-0.4343751	-0.560170136	0.535733623	-0.699800534	0.98597055	0.811143835	-0.927626086	-0.283249535
13	1	6	MD	23	-0.966098694	-0.884491026	0.520334964	-0.843987708	-0.708436231	-0.983180095	-0.623267605	-0.530313746	-0.424807336	-0.04108763	0.117955314	1.106073674	2.508630541	-0.342141005	-0.235177138	-0.930906307	-1.153983593	0.013632096	-0.579419712	0.525231109	-0.22698684	-0.712145047	1.280496387	1.090786911	0.174945102	-0.085027468	-0.52064073	-0.246760967	-0.076544253	0.82992001	1.502430643	0.146230932	3.593033286	-0.759479839	-0.576939534	0.771546482	-0.740500117	-1.575782796	-0.666823383	-0.784572129	-0.841826153	-0.218563372	2.230949773	0.995160769	-0.877255949	1.372610717	-0.749605452	-1.054551831	-0.376700904	-0.90144975	-0.720675516	-0.933279456	-0.131251626	-1.371753287	0.075240808	-0.550734292	-0.432808857	-0.593725421	-0.382145788	-0.131146246	-0.420331102	0.987810914	0.173432245	4.747082463	-0.916114952	1.859425768	-0.31842361	-0.218449784	-0.106738834	-0.33299096	-0.337298155	-0.402707249	-0.596874295	1.55973286	-0.553229452	-1.459493491
14	1	8	MD	2739	-0.14944586	1.148100373	-0.050838182	-0.279491269	-0.775098423	-0.479145261	-1.079689088	-0.622030628	-1.05710849	-0.809286161	-0.06396009	-0.109988456	0.040037192	-0.889841519	0.059771141	-0.406085424	-0.882184387	0.362483073	-0.14869162	-1.159265172	-0.654567818	-0.676242295	0.029309774	0.857007128	-1.225055993	-0.755515721	-0.629468904	-0.281356302	-1.32181757	-0.142297783	-0.017110711	-0.598678018	3.291898699	-1.458226322	-0.965178924	0.14744457	-0.925661813	-1.422635302	-0.936091045	-0.919028565	-0.744163727	-0.496799758	0.760417418	1.710404434	-1.107354175	0.049292719	-1.267506127	-0.832337678	-0.626327517	-0.39170355	-1.095403657	-0.794413496	-0.177538773	-1.337702931	2.027920075	-0.590855354	-0.319090451	-0.597689297	-0.408568485	-0.321478229	-0.488148928	1.027939496	-0.127206725	0.652317418	-0.875039112	-0.497158677	-0.378068544	-0.379688629	-0.286254565	-0.346445999	0.130919698	-0.32075756	-0.818101911	0.020517329	-0.011020911	0.375456375
15	1	10	MD	5374	-0.309218631	1.841254115	0.989971879	-0.119995801	-1.542854036	-0.263191749	-1.296953551	-0.592145506	-1.070375858	-0.599386072	-0.441813126	0.885622383	-0.662145539	-0.953916068	-0.874228413	-1.200667886	-1.08016487	-0.953572471	0.288081497	-1.387232344	-0.47394217	-0.957861742	-0.858598909	3.004958722	-0.715827935	-1.75401705	-1.262047323	-0.494459854	-1.617711258	-0.598647409	-0.343311792	-0.862753041	3.668014128	-1.568130501	-1.05914102	-1.032169046	-1.800886618	-0.578290581	-1.319588565	-1.592628879	-1.315646113	-1.282310648	0.303564539	1.228335919	-0.842173335	-0.378508326	-1.234762974	-1.212600788	-1.658457298	-0.583422038	-1.095939659	-1.008095878	-1.270810956	-1.618041432	4.145456172	-1.015048635	-1.261491345	-0.043662005	-0.05755205	-0.276890127	0.136100491	2.681912165	-0.116497118	0.287149257	-1.222382265	-0.954987636	0.022639254	-0.285446974	-0.228570322	0.100669196	-0.878008002	-0.910623381	2.911748283	-1.602241414	0.14208881	-0.079175904
16	1	12	MD	3983	-0.647328572	2.069898858	1.306581679	-0.780627981	-1.445828945	-0.92723042	-0.220406292	-1.040287353	-0.601101847	-0.130373163	-0.332702038	-0.518622966	-0.199355131	-0.927938123	-1.162266683	-1.034570379	-1.527871425	0.183108445	-0.786860549	-0.957025352	-1.63125562	-0.983609314	-0.509860985	1.815791808	-1.314798447	-1.122948601	-1.096384408	-0.262071995	-1.054532534	-0.320089654	0.0065086	-0.364511667	3.419731327	-1.554297686	-0.757808954	-0.2362815	-0.79780203	-1.575875254	-1.045803754	-0.848136592	-1.308023936	-0.389052219	1.458388882	-0.355734364	-1.322502464	-0.963105649	-0.933677198	-0.969925299	-0.779669741	-0.251735554	-0.801143327	-0.359363706	-0.980839587	-0.896206074	-0.721780624	-0.902329446	-1.165780536	0.180346877	-1.143461692	-0.608537047	-1.011634602	-1.008687444	-0.31000397	-0.518995728	-0.934171766	-0.518593792	-0.855487767	-0.835179304	-0.581601995	-0.648592702	-1.225841958	-1.079262969	1.619137859	-0.653930636	-0.929205885	-1.258605049
17	1	14	MD	66	-0.554230398	1.604681203	0.87412882	-0.561718118	-0.072783053	-0.723345795	0.512181967	-0.412251697	-0.545873624	0.546011073	-0.621623172	1.066721489	0.691687958	-0.783901194	-1.341504507	-0.893564995	-0.600045522	3.72717088	-0.687466853	0.982488538	-1.223951291	-0.147198077	3.133506571	1.541059591	-0.937360423	-1.360889128	-1.547838278	-0.785177877	-0.192166834	0.074603546	1.751296255	0.653648068	3.29696597	-2.050970284	-0.718482732	-0.961565843	-0.579426309	1.711004449	-0.693403496	-0.444531772	-1.068659513	0.084719276	1.653857626	0.934802397	-0.796273389	-0.820455589	-0.98771693	-0.915410913	-0.777403259	0.891771396	-0.802256177	-0.408807735	-0.44031069	-1.250468894	-0.71167079	-1.068628203	-0.51614811	-0.083267247	-1.147221427	-0.538554878	-0.986593547	-0.868812231	-0.183485122	-0.512638721	-1.014496172	-0.627407334	-0.836733885	-0.764167393	-0.462735408	-0.62399222	-1.379466879	-0.617983898	4.030934656	-0.877138871	-0.939840673	0.128631505
18	1	16	MD	3766	-1.043259578	-1.771701004	-0.087849802	-0.997752146	-1.188738798	-1.066328334	-0.721727935	-0.805068603	-0.816434359	-0.507881687	-0.881189931	-0.490491921	-0.503982164	-0.993529275	-1.583332545	-1.563465578	-1.119863475	-1.25375033	-0.858236188	-1.207610189	-1.912532885	-0.288957243	3.918695948	0.371964658	-1.582882795	-2.278940701	-1.545949929	-1.054461917	-1.243369893	0.740779354	-0.696847365	2.241058223	3.52820857	-1.770711928	-1.097038198	-1.056484124	-1.520777578	-1.575667311	-1.149249336	-1.434579715	-1.415171248	-0.714814081	0.515411878	-0.096798642	-1.293719979	-1.008907831	-1.228897147	-1.212700207	-1.392506444	-1.068831567	-1.170307587	-0.851716703	-0.939201867	-1.795698568	-0.74284694	-1.321054453	-0.895153189	-0.593293309	-1.244352348	-0.622887321	-1.016515324	-0.887529822	-0.281324716	-0.996671415	-1.026102749	-0.826767274	-0.849431939	-0.849207559	-0.548513128	-0.650393553	-1.352804234	-1.079083779	-0.920952623	-0.610545729	-0.947834368	-0.801511243
20	1	20	MD	4226	0.226958337	0.577770585	-0.479942908	0.292285542	-0.5639173	-0.025698273	-0.974112727	-0.787076396	-1.010322252	-0.754692552	-0.825767178	0.977979673	-0.491969762	-0.759923387	-0.928022079	-0.183579214	-0.831943374	1.162095626	-0.205668862	-1.159201503	-0.452589341	0.008933467	0.776653392	-0.169748545	-0.347556432	-1.390157042	-1.187667468	-0.480991431	-1.156002913	-0.695171868	-0.738401316	-0.493558738	2.691521368	-1.493665151	-0.997990259	-0.567662224	-0.962858991	-0.666108729	-0.631806985	-0.472654707	-0.791590223	-0.486527837	0.488735021	-0.078119067	-0.872669131	0.201742997	-1.2401613	-0.922046482	-0.526988456	0.119695563	-1.14869926	-0.853427608	-0.482299549	-1.668293958	0.021764672	-0.747282363	-0.715591957	1.569085801	-0.385930437	-0.254857967	-0.495577782	0.729647446	0.041603162	1.605973707	-0.986676161	0.516840095	-0.449376224	-0.507674825	-0.254294804	-0.329830096	0.349207738	0.186980025	-0.467530886	1.41789728	-0.790407277	-0.686603783
22	2	1	CL	9972	2.196670809	-0.631907265	-0.162414519	1.715996589	0.239454222	1.328252636	-1.111489041	-0.917775583	-1.084854315	-0.726354726	-0.430319764	-0.124763034	-0.40829561	-0.59575264	-0.474940646	-0.749778216	-1.371585953	-0.520608174	0.466737017	-0.725584421	-0.701040034	-0.836882515	0.121305193	-0.563736056	-0.486326998	-1.279702313	-1.062927559	-0.9687486	-0.695342871	-1.215691269	0.292351352	-0.929100712	-0.453426235	-1.621589824	-0.996578723	-1.386683433	-1.358863069	1.894330058	-0.970118556	-0.528567866	-1.098360383	-0.915666765	0.079503298	1.714285762	-0.37601296	-0.273300761	-0.811336372	-1.06473937	-1.038386381	-0.54354476	-0.881582246	-0.907280252	-0.984242539	-1.789375891	0.936758792	-1.072260541	-0.979243868	-0.031222605	-0.305660282	0.204848192	-0.128635204	0.437403416	-0.236525443	0.817438863	-0.313708501	-0.990218805	-0.163695327	0.16671931	0.272286953	-0.301077333	-0.441307988	-1.077730804	-0.836274851	0.057717595	0.369264176	-1.59335421
23	2	3	CL	11119	1.137305903	1.592134973	-0.30152705	0.663933722	3.075498021	0.827483517	0.954319671	-1.003292098	0.737203546	-0.588053645	-1.11261577	0.276775887	0.438190433	-0.147895063	0.65036475	-0.036432235	0.447274088	0.94569186	0.290482391	1.084051282	0.482987275	0.08890579	-0.330212275	0.064447128	-1.009966199	2.86886861	0.697610547	-0.232824402	0.974490095	-0.637910507	0.530659326	-0.508426252	-0.436217253	0.704535522	0.253913311	-0.223646776	0.555117587	0.462959748	0.794405005	0.15275707	0.497598697	1.250358456	1.04687522	0.750254362	0.528250115	0.548055291	0.608164723	-0.450464238	1.058412499	-0.064920314	0.656923437	0.036658348	1.148889566	0.190922528	-0.727746451	-0.820136182	1.027528774	0.063478158	-0.874083438	-0.57303998	-0.924172671	-0.837583562	-0.178692041	-0.254325558	0.540126922	-0.280401358	-0.761058742	-0.650714345	-0.475660453	-0.603153845	-0.449147216	1.191411833	-0.789683318	0.627189154	-0.947940809	-1.217916945
24	2	5	CL	10433	0.481729177	-1.250667746	-0.207560889	0.52598993	-0.140778168	0.437896081	-0.953059565	-0.733747453	-0.644836645	0.091961708	-0.642302858	0.210420015	-0.240369674	-0.130076713	-0.486639854	-0.68851979	-1.347856352	0.664235176	0.238904075	-0.78134454	-1.076931801	-0.691287899	-0.829735165	-0.801370622	-1.527875861	-1.160012849	-1.204355336	-1.133784044	-0.944851309	-1.24266018	-0.106999067	-0.996947808	-0.446395623	-1.516948493	-1.300881358	-1.63435049	-1.438562677	0.342031952	-0.795573669	-0.670629096	-0.709270841	-0.864269087	0.374742056	-0.171092364	-0.908935123	-0.80213674	-1.358780303	-1.044148962	-1.127035607	-0.03544604	-1.327784372	-1.185865274	-0.788231216	-1.596633992	-0.349884914	-1.246045754	-0.658087786	-0.067632195	-0.524252003	-0.309027063	-0.432941913	0.591933827	-0.304721589	0.151083457	-0.614065808	-1.003241781	-0.44055749	-0.301965227	-0.255058027	-0.374070039	-0.197067121	-1.078928691	0.197912543	-0.149804291	1.554595722	-1.269276745
25	2	7	CL	10365	0.071941732	0.350660989	-0.21191243	0.479938345	1.412856716	0.320249366	-0.035091258	-0.682093609	-0.900132264	-0.327665656	-1.022345862	0.481067468	0.204523257	0.272210778	0.957018935	1.081784824	1.349111187	-0.69432073	0.760732255	-0.941135204	1.100432146	0.19036329	0.659974735	-0.826054811	0.606088396	-0.060561134	0.116998904	-0.255618004	-0.828704258	-0.968270758	-0.603277081	-0.625732139	-0.453678707	0.208228078	0.147581215	-0.322696172	-0.303009871	0.267484785	0.120253077	2.423604344	0.940894808	0.08093533	1.243744776	-0.475566427	2.383233983	-0.131215597	0.061570859	-0.394782887	0.786529648	-0.313383413	0.360023844	0.013934428	0.871367103	-0.291416983	0.272393916	-0.682111836	0.843674399	0.561374559	1.380090134	0.724384744	1.645842124	1.145356367	-0.055453113	0.164446315	1.628792809	-0.510536528	1.981410526	2.794539046	0.851511997	1.067218216	1.228518833	0.116073006	-0.250871009	-0.16466507	1.204534402	-1.187110159
27	2	11	CL	7173	0.172256874	-0.952548544	0.106475341	0.254008564	-0.643289204	0.163909782	0.222115645	-0.732000014	-0.581868698	-0.804285836	-0.959778911	-0.4302943	-0.4161151	-0.775855499	-1.471743093	-0.604796407	-0.562173565	0.01845029	-0.058234424	0.12110012	-1.09998871	-0.39679511	-0.285161778	-0.245638777	-0.529808572	-0.708067559	-1.412310467	-0.702120788	0.344195834	-0.610566367	-0.569046851	-0.088712864	-0.419848124	-0.835406493	-1.210135843	-1.65235236	0.569555148	-0.562638517	-1.344684418	-0.582421423	-0.013967637	-0.583944878	0.321709429	-0.263379536	-1.454960443	-0.873261811	-1.314679045	-1.028527765	-1.291484412	-1.209137706	-1.354295205	-0.972205664	-0.873249358	-0.736478117	-0.756880668	-1.140558232	-0.848926608	-0.587801161	-1.112832985	-0.575534473	-0.877520719	-0.10958515	-0.25561536	-0.872203933	-0.183414363	-0.798023013	-0.710523079	-0.704790211	-0.518908843	-0.541469047	-1.669921783	1.749857338	-0.940953446	-1.393625661	-0.933225475	-0.776550499
